ClubDimKey,ClubTeamName,Sport,CompetitionLevel,SurfaceType
8794,MasseBourg Stars,Basketball,Amateur,Wooden Floor
8795,West Georgeburgh Track Club,Athletics,Amateur,Indoor Track
8796,Pinneberg BC,Boxing,Amateur,Gym Floor
8797,Welchhaven TC,Tennis,Amateur,Grass
8798,Joly Athletic,Football,Amateur,Grass
8799,Demmin Hoops,Basketball,Amateur,Indoor Court
8800,Cliffordmouth City,Football,Professional,Indoor Court
8801,Huesca Athletic Club,Athletics,Professional,Indoor Track
8802,Cislago AC,Athletics,Amateur,Road
8803,Potenza Basketball Club,Basketball,Amateur,Indoor Court
8804,Santa Cruz de Tenerife Stars,Basketball,Amateur,Outdoor Court
8805,West Eileen City,Football,Amateur,Grass
8806,Costa FC,Football,Amateur,Indoor Court
8807,Peron-sur-Hamel Academy,Tennis,Amateur,Indoor Court
8808,Schwandorf AC,Athletics,Amateur,Indoor Track
8809,Burgos Athletic,Football,Professional,Grass
8810,Smithhaven Stars,Basketball,Amateur,Indoor Court
8811,Girona BC,Boxing,Professional,Ring
8812,Sainte Henri Tennis Club,Tennis,Professional,Hard Court
8813,Kitzingen Gym,Boxing,Amateur,Ring
8814,East Bryanberg Rovers,Football,Professional,Grass
8815,Asturias Tennis Club,Tennis,Amateur,Indoor Court
8816,Toledo Tennis Club,Tennis,Amateur,Indoor Court
8817,Isola Delle Femmine Hoops,Basketball,Professional,Wooden Floor
8818,Lleida BC,Basketball,Amateur,Indoor Court
8819,Shawside AC,Athletics,Amateur,Indoor Track
8820,Villafranca Di Medolla Athletic Club,Athletics,Professional,Field
8821,Ebern Academy,Tennis,Amateur,Clay
8822,Torgnon Boxing Club,Boxing,Professional,Training Mat
8823,Petitjean-les-Bains FC,Football,Amateur,Artificial Turf
8824,Bussi Sul Tirino BC,Boxing,Amateur,Ring
8825,Jonesmouth United,Football,Professional,Artificial Turf
8826,Caccuri Stars,Basketball,Professional,Outdoor Court
8827,Agums BC,Boxing,Amateur,Training Mat
8828,Vizcaya BC,Boxing,Amateur,Gym Floor
8829,Legros United,Football,Professional,Grass
8830,Jenkinshaven TC,Tennis,Professional,Hard Court
8831,South Seanshire Tennis Club,Tennis,Amateur,Indoor Court
8832,New Terryton Basketball Club,Basketball,Amateur,Indoor Court
8833,Valsamoggia Tennis Club,Tennis,Amateur,Grass
8834,Freising Tennis Club,Tennis,Amateur,Clay
8835,Schiavoi City,Football,Professional,Artificial Turf
8836,Pinto Boxing Club,Boxing,Amateur,Ring
8837,Sainte Emmanuel-sur-Mer Stars,Basketball,Professional,Indoor Court
8838,North Dylan City,Football,Amateur,Indoor Court
8839,Mühlen i. Taufers Athletic,Football,Amateur,Indoor Court
8840,Zamora Academy,Tennis,Professional,Grass
8841,Poggiodomo Track Club,Athletics,Amateur,Indoor Track
8842,Campofiorito Academy,Tennis,Professional,Grass
8843,Salamanca Athletic,Football,Professional,Grass
8844,Ceuta Tennis Club,Tennis,Amateur,Indoor Court
8845,Calau Track Club,Athletics,Amateur,Road
8846,Ferrari Di Cervinara Academy,Tennis,Amateur,Clay
8847,Ávila BC,Boxing,Amateur,Gym Floor
8848,Taylorborough BC,Basketball,Professional,Outdoor Court
8849,San Paolo Cervo United,Football,Amateur,Indoor Court
8850,Säckingen City,Football,Amateur,Indoor Court
8851,South Darren TC,Tennis,Professional,Clay
8852,Lippstadt Boxing Club,Boxing,Amateur,Ring
8853,Barcelona Academy,Tennis,Amateur,Grass
8854,Hamel City,Football,Amateur,Grass
8855,Eberswalde United,Football,Professional,Grass
8856,Ducenta Track Club,Athletics,Amateur,Track
8857,Scillato BC,Basketball,Amateur,Outdoor Court
8858,Granada Tennis Club,Tennis,Amateur,Grass
8859,Valdottavo Hoops,Basketball,Professional,Wooden Floor
8860,Torno Boxing Club,Boxing,Professional,Training Mat
8861,Santa Maria Della Croce Stars,Basketball,Amateur,Wooden Floor
8862,Bremervörde BC,Basketball,Amateur,Indoor Court
8863,Murcia Hoops,Basketball,Amateur,Outdoor Court
8864,Strugas Rovers,Football,Amateur,Indoor Court
8865,Port Johnshire Track Club,Athletics,Amateur,Indoor Track
8866,Rocher-sur-Robert Rovers,Football,Amateur,Indoor Court
8867,Beverleyside Hoops,Basketball,Amateur,Indoor Court
8868,Colinnec AC,Athletics,Amateur,Road
8869,Sevilla City,Football,Amateur,Indoor Court
8870,Taylorfurt AC,Athletics,Professional,Indoor Track
8871,Vaillant TC,Tennis,Amateur,Clay
8872,Simbario Basketball Club,Basketball,Amateur,Outdoor Court
8873,Saint Henriette-sur-Mer Boxing Club,Boxing,Professional,Ring
8874,Jaén Tennis Club,Tennis,Amateur,Hard Court
8875,Strongoli BC,Boxing,Amateur,Gym Floor
8876,Navarro Boxing Club,Boxing,Professional,Training Mat
8877,Martinside TC,Tennis,Professional,Indoor Court
8878,Olpe BC,Basketball,Amateur,Outdoor Court
8879,Aubert TC,Tennis,Amateur,Indoor Court
8880,Blandino Tennis Club,Tennis,Amateur,Grass
8881,Chiarino Boxing Club,Boxing,Amateur,Ring
8882,Cuenca Rovers,Football,Professional,Grass
8883,Peron Athletic Club,Athletics,Amateur,Field
8884,Málaga Basketball Club,Basketball,Amateur,Indoor Court
8885,Oliverchester Boxing Club,Boxing,Amateur,Ring
8886,Thomasdan Academy,Tennis,Amateur,Indoor Court
8887,Fouquetboeuf FC,Football,Professional,Artificial Turf
8888,Jessen Academy,Tennis,Amateur,Grass
8889,Castel Di Lama Stazione Gym,Boxing,Amateur,Gym Floor
8890,Olivier Hoops,Basketball,Amateur,Indoor Court
8891,Bethanmouth Basketball Club,Basketball,Amateur,Indoor Court
8892,Werdau United,Football,Professional,Artificial Turf
8893,Besnard TC,Tennis,Amateur,Indoor Court
8894,Farrellland BC,Basketball,Amateur,Wooden Floor
8895,Hamiltontown Hoops,Basketball,Amateur,Outdoor Court
8896,Neubrandenburg AC,Athletics,Professional,Indoor Track
8897,Montirone Basketball Club,Basketball,Amateur,Indoor Court
8898,Osterode am Harz Boxing Club,Boxing,Amateur,Ring
8899,Lake Lauren BC,Basketball,Amateur,Wooden Floor
8900,Glera Athletic Club,Athletics,Amateur,Track
8901,Mitchellland Athletic Club,Athletics,Amateur,Road
8902,West Carolside Gym,Boxing,Amateur,Ring
8903,Barthelemy-les-Bains Boxing Club,Boxing,Amateur,Gym Floor
8904,Gillberg Stars,Basketball,Amateur,Wooden Floor
8905,Woodshire Academy,Tennis,Professional,Hard Court
8906,Osidda Stars,Basketball,Professional,Wooden Floor
8907,North Rosemary Tennis Club,Tennis,Amateur,Hard Court
8908,New Cliffordburgh Basketball Club,Basketball,Amateur,Indoor Court
8909,South Catherine Academy,Tennis,Amateur,Hard Court
8910,Sangerhausen Gym,Boxing,Professional,Training Mat
8911,Gand/Martell Academy,Tennis,Professional,Indoor Court
8912,Pontecuti TC,Tennis,Amateur,Grass
8913,Helmstedt Boxing Club,Boxing,Amateur,Training Mat
8914,MarionBourg BC,Boxing,Professional,Ring
8915,Jameschester TC,Tennis,Amateur,Clay
8916,Bèguenec TC,Tennis,Amateur,Clay
8917,Karlsruhe TC,Tennis,Professional,Grass
8918,Malchin City,Football,Amateur,Grass
8919,Potier AC,Athletics,Professional,Indoor Track
8920,Schrobenhausen Academy,Tennis,Professional,Clay
8921,Saint Simone-les-Bains BC,Boxing,Amateur,Gym Floor
8922,Stevensonstad City,Football,Amateur,Indoor Court
8923,Valencia Track Club,Athletics,Amateur,Track
8924,Omignano BC,Boxing,Amateur,Ring
8925,Las Palmas BC,Basketball,Amateur,Wooden Floor
8926,Deggendorf Athletic,Football,Amateur,Artificial Turf
8927,León Boxing Club,Boxing,Amateur,Training Mat
8928,Saint Marianne BC,Basketball,Amateur,Wooden Floor
8929,Cadegliano Viconago AC,Athletics,Professional,Field
8930,Portofino AC,Athletics,Professional,Field
8931,Leconte BC,Boxing,Amateur,Ring
8932,BourgeoisBourg Boxing Club,Boxing,Professional,Ring
8933,Geithain BC,Boxing,Amateur,Training Mat
8934,Port Dawn City,Football,Amateur,Indoor Court
8935,West Rhysfort City,Football,Professional,Artificial Turf
8936,Sainte Philippe Hoops,Basketball,Amateur,Wooden Floor
8937,Lake Sophie Hoops,Basketball,Amateur,Wooden Floor
8938,Port Samantha Track Club,Athletics,Amateur,Track
8939,Apolda Hoops,Basketball,Amateur,Outdoor Court
8940,Finsterwalde Academy,Tennis,Amateur,Hard Court
8941,Gorzano Rovers,Football,Professional,Indoor Court
8942,Bouchet-sur-Guillet Hoops,Basketball,Amateur,Wooden Floor
8943,Lyonsville Gym,Boxing,Amateur,Ring
8944,Konstanz FC,Football,Amateur,Indoor Court
8945,Carpanzano Tennis Club,Tennis,Amateur,Hard Court
8946,Granada BC,Boxing,Amateur,Training Mat
8947,Voisinboeuf Basketball Club,Basketball,Professional,Wooden Floor
8948,Badajoz TC,Tennis,Amateur,Hard Court
8949,Coburg Basketball Club,Basketball,Professional,Indoor Court
8950,Gemini City,Football,Amateur,Indoor Court
8951,Erula Athletic Club,Athletics,Professional,Field
8952,Calw Boxing Club,Boxing,Amateur,Training Mat
8953,Alicante Track Club,Athletics,Professional,Road
8954,Barbier Hoops,Basketball,Professional,Outdoor Court
8955,Yvonneview United,Football,Professional,Indoor Court
8956,Valencia Academy,Tennis,Professional,Hard Court
8957,Delitzsch AC,Athletics,Amateur,Road
8958,Gauthier-les-Bains TC,Tennis,Amateur,Clay
8959,Las Palmas TC,Tennis,Professional,Hard Court
8960,Foucher-sur-Ferrand Rovers,Football,Professional,Artificial Turf
8961,Payetdan City,Football,Amateur,Grass
8962,Melilla Gym,Boxing,Professional,Training Mat
8963,Gillianberg BC,Basketball,Amateur,Outdoor Court
8964,Viersen Tennis Club,Tennis,Amateur,Hard Court
8965,Martynmouth AC,Athletics,Amateur,Field
8966,Montecastello Athletic Club,Athletics,Professional,Road
8967,Hohenstein-Ernstthal Gym,Boxing,Professional,Training Mat
8968,Ruffre' City,Football,Amateur,Indoor Court
8969,Pieve San Vincenzo Basketball Club,Basketball,Amateur,Outdoor Court
8970,Case San Martino Stars,Basketball,Amateur,Wooden Floor
8971,Campedello FC,Football,Amateur,Indoor Court
8972,San Benedetto In Guarano BC,Boxing,Professional,Training Mat
8973,Navarra Athletic Club,Athletics,Professional,Track
8974,West Harry BC,Boxing,Amateur,Ring
8975,Longastrino BC,Boxing,Professional,Ring
8976,Ravensburg Boxing Club,Boxing,Professional,Ring
8977,Diepholz BC,Boxing,Professional,Training Mat
8978,Castilenti Rovers,Football,Amateur,Indoor Court
8979,Saint Valérie-les-Bains Athletic,Football,Amateur,Grass
8980,Lake Gordon Basketball Club,Basketball,Professional,Indoor Court
8981,Madonna Pozzo Guacito Gym,Boxing,Amateur,Gym Floor
8982,Leblanc-la-Forêt Track Club,Athletics,Amateur,Field
8983,New Gailland Track Club,Athletics,Professional,Field
8984,North Kathleen TC,Tennis,Amateur,Grass
8985,None Track Club,Athletics,Amateur,Field
8986,Collamato Stars,Basketball,Amateur,Outdoor Court
8987,La Coruña Boxing Club,Boxing,Professional,Ring
8988,Kelheim Boxing Club,Boxing,Amateur,Gym Floor
8989,Robert-sur-Picard Academy,Tennis,Amateur,Hard Court
8990,Gosi Athletic Club,Athletics,Amateur,Field
8991,Saint Marthe-sur-Mer Academy,Tennis,Amateur,Indoor Court
8992,South Kevinbury Boxing Club,Boxing,Amateur,Ring
8993,Teruel Athletic Club,Athletics,Professional,Road
8994,Ghizzano Di Peccioli Stars,Basketball,Amateur,Outdoor Court
8995,Cecalocco Athletic Club,Athletics,Amateur,Track
8996,Eisenach Athletic Club,Athletics,Amateur,Indoor Track
8997,Port Carl Stars,Basketball,Professional,Indoor Court
8998,Baleares AC,Athletics,Professional,Road
8999,Villa Minozzo Hoops,Basketball,Professional,Indoor Court
9000,Variano Hoops,Basketball,Professional,Wooden Floor
9001,Guadalajara AC,Athletics,Amateur,Indoor Track
9002,Bianconese City,Football,Amateur,Grass
9003,Comeana Boxing Club,Boxing,Amateur,Training Mat
9004,MeunierBourg Athletic Club,Athletics,Amateur,Indoor Track
9005,Santa Maria In Strada BC,Boxing,Amateur,Training Mat
9006,West Gemmaville TC,Tennis,Amateur,Hard Court
9007,Quartucciu Boxing Club,Boxing,Professional,Gym Floor
9008,West Deanport Academy,Tennis,Amateur,Indoor Court
9009,Brianland Athletic Club,Athletics,Amateur,Field
9010,Albacete Gym,Boxing,Amateur,Ring
9011,Madrid TC,Tennis,Professional,Indoor Court
9012,Saint Brigitte-la-Forêt Track Club,Athletics,Amateur,Indoor Track
9013,Vallecchia BC,Boxing,Professional,Training Mat
9014,Wolfratshausen Tennis Club,Tennis,Professional,Clay
9015,Chapmanshire United,Football,Amateur,Artificial Turf
9016,Bad Liebenwerda BC,Boxing,Amateur,Ring
9017,Lleida Athletic Club,Athletics,Amateur,Track
9018,Ciudad United,Football,Amateur,Grass
9019,Antonyhaven United,Football,Amateur,Grass
9020,Saint Nicole-la-Forêt Boxing Club,Boxing,Professional,Training Mat
9021,Ingolstadt Athletic Club,Athletics,Amateur,Indoor Track
9022,Lake Bradleytown Gym,Boxing,Amateur,Ring
9023,Rochlitz Track Club,Athletics,Amateur,Indoor Track
9024,Hopkinsfurt Athletic Club,Athletics,Amateur,Indoor Track
9025,Belvedere Di Siracusa City,Football,Professional,Indoor Court
9026,Scortichino Academy,Tennis,Amateur,Clay
9027,Fondachelli Fantina Track Club,Athletics,Professional,Indoor Track
9028,Melle Boxing Club,Boxing,Professional,Gym Floor
9029,West Charlenehaven Athletic,Football,Professional,Grass
9030,Lake Trevor Academy,Tennis,Amateur,Hard Court
9031,Sankt Goarshausen Track Club,Athletics,Amateur,Road
9032,Faure AC,Athletics,Professional,Road
9033,Patelfort Athletic,Football,Professional,Grass
9034,Lecoq-sur-Leconte TC,Tennis,Amateur,Grass
9035,Santo Stino Di Livenza Academy,Tennis,Amateur,Grass
9036,Bethtown Track Club,Athletics,Professional,Track
9037,South Steven United,Football,Amateur,Grass
9038,North Patricia Gym,Boxing,Amateur,Gym Floor
9039,Potsdam TC,Tennis,Professional,Grass
9040,Barthelemy Hoops,Basketball,Amateur,Outdoor Court
9041,Schwabmünchen AC,Athletics,Professional,Track
9042,Cookchester Stars,Basketball,Professional,Indoor Court
9043,Mitchellside United,Football,Professional,Grass
9044,Garyport Gym,Boxing,Amateur,Ring
9045,North Diane City,Football,Amateur,Artificial Turf
9046,Málaga BC,Basketball,Amateur,Indoor Court
9047,Burgos TC,Tennis,Professional,Grass
9048,Girona Track Club,Athletics,Amateur,Field
9049,New Carolebury Track Club,Athletics,Amateur,Road
9050,Zoebury Boxing Club,Boxing,Amateur,Ring
9051,Lebon Boxing Club,Boxing,Amateur,Gym Floor
9052,Stadtroda Boxing Club,Boxing,Amateur,Training Mat
9053,Daniel-sur-Raynaud Basketball Club,Basketball,Amateur,Wooden Floor
9054,Wellsfurt Track Club,Athletics,Amateur,Indoor Track
9055,Hollyshire BC,Boxing,Professional,Gym Floor
9056,East Roy BC,Boxing,Professional,Ring
9057,Elizabethtown Basketball Club,Basketball,Amateur,Indoor Court
9058,Ingolstadt TC,Tennis,Amateur,Clay
9059,Dessau Academy,Tennis,Amateur,Clay
9060,Rottweil Gym,Boxing,Amateur,Gym Floor
9061,Asturias BC,Basketball,Professional,Wooden Floor
9062,Zaragoza FC,Football,Professional,Indoor Court
9063,Guibert Athletic Club,Athletics,Amateur,Road
9064,Andre-la-Forêt Hoops,Basketball,Amateur,Outdoor Court
9065,Strausberg Stars,Basketball,Amateur,Indoor Court
9066,Lake Brandonfurt BC,Basketball,Amateur,Outdoor Court
9067,Cantabria Rovers,Football,Professional,Indoor Court
9068,Dumasdan Stars,Basketball,Professional,Indoor Court
9069,Málaga Boxing Club,Boxing,Amateur,Ring
9070,Hünfeld Stars,Basketball,Amateur,Indoor Court
9071,Guibertdan Track Club,Athletics,Professional,Field
9072,Cotropagno FC,Football,Professional,Indoor Court
9073,Feuchtwangen BC,Boxing,Amateur,Ring
9074,Bremen BC,Boxing,Amateur,Ring
9075,Sankt Goarshausen Track Club,Athletics,Amateur,Track
9076,La Rioja Athletic Club,Athletics,Amateur,Track
9077,Thomasstad Academy,Tennis,Amateur,Clay
9078,Gaggino Hoops,Basketball,Amateur,Indoor Court
9079,Jaén Basketball Club,Basketball,Professional,Outdoor Court
9080,Lynnestad Hoops,Basketball,Amateur,Outdoor Court
9081,Saint Léon Athletic,Football,Amateur,Grass
9082,Jonathanborough Track Club,Athletics,Amateur,Field
9083,Huet Gym,Boxing,Amateur,Training Mat
9084,Leclercq-sur-Blin Gym,Boxing,Professional,Training Mat
9085,South Melissamouth BC,Boxing,Amateur,Gym Floor
9086,Fossato Di Vico Stazione BC,Boxing,Amateur,Ring
9087,Guadalajara Academy,Tennis,Amateur,Indoor Court
9088,León Gym,Boxing,Amateur,Training Mat
9089,Janetview Gym,Boxing,Amateur,Ring
9090,Cusciano Hoops,Basketball,Amateur,Wooden Floor
9091,Caulonia Marina AC,Athletics,Professional,Road
9092,Segovia BC,Boxing,Professional,Ring
9093,Backnang Boxing Club,Boxing,Amateur,Training Mat
9094,Eutin Boxing Club,Boxing,Amateur,Gym Floor
9095,Groß-Gerau Tennis Club,Tennis,Professional,Indoor Court
9096,West Frederickborough Rovers,Football,Professional,Grass
9097,Sternberg Athletic Club,Athletics,Amateur,Field
9098,Sainte MargauxVille Hoops,Basketball,Professional,Indoor Court
9099,Casaprota Boxing Club,Boxing,Amateur,Training Mat
9100,Mellaun AC,Athletics,Amateur,Track
9101,East Kim Tennis Club,Tennis,Amateur,Indoor Court
9102,Sainte Joseph-les-Bains Track Club,Athletics,Professional,Road
9103,Giraud Boxing Club,Boxing,Amateur,Training Mat
9104,Lleida FC,Football,Amateur,Grass
9105,Brunet-la-Forêt Basketball Club,Basketball,Amateur,Wooden Floor
9106,Martinez-la-Forêt United,Football,Amateur,Grass
9107,Bazin Boxing Club,Boxing,Amateur,Gym Floor
9108,Guadalajara BC,Basketball,Amateur,Outdoor Court
9109,Rostock Gym,Boxing,Professional,Training Mat
9110,Aachen Tennis Club,Tennis,Amateur,Indoor Court
9111,Ciudad FC,Football,Professional,Grass
9112,Griffithsview Basketball Club,Basketball,Professional,Wooden Floor
9113,Melilla FC,Football,Amateur,Grass
9114,Anitrella Rovers,Football,Amateur,Grass
9115,GrosVille Athletic Club,Athletics,Amateur,Indoor Track
9116,Robertsland FC,Football,Amateur,Artificial Turf
9117,Joseph Academy,Tennis,Amateur,Grass
9118,New Brettport Boxing Club,Boxing,Amateur,Training Mat
9119,Hardy Athletic Club,Athletics,Amateur,Road
9120,Dupont-sur-Vidal Tennis Club,Tennis,Amateur,Hard Court
9121,Seelow Gym,Boxing,Professional,Training Mat
9122,Stretti Di Eraclea Boxing Club,Boxing,Professional,Gym Floor
9123,Sainte Théodore Academy,Tennis,Amateur,Hard Court
9124,Leonessa Di Melfi BC,Boxing,Amateur,Ring
9125,Charliefurt AC,Athletics,Professional,Road
9126,Conflenti Inferiore Boxing Club,Boxing,Professional,Ring
9127,Colonia Di Anzio BC,Boxing,Amateur,Training Mat
9128,Hohenstein-Ernstthal Stars,Basketball,Amateur,Wooden Floor
9129,Alexandre-la-Forêt Tennis Club,Tennis,Professional,Indoor Court
9130,Magdeburg BC,Boxing,Professional,Ring
9131,Lottulo Academy,Tennis,Amateur,Hard Court
9132,Auerbach Boxing Club,Boxing,Amateur,Training Mat
9133,Fischer-sur-Renault Boxing Club,Boxing,Professional,Gym Floor
9134,Maureenview Academy,Tennis,Amateur,Clay
9135,La Rioja Academy,Tennis,Professional,Hard Court
9136,Hildesheim City,Football,Amateur,Artificial Turf
9137,Málaga Athletic Club,Athletics,Amateur,Indoor Track
9138,Córdoba Boxing Club,Boxing,Amateur,Training Mat
9139,Hubertboeuf TC,Tennis,Amateur,Clay
9140,Courtois Academy,Tennis,Amateur,Indoor Court
9141,Villagrazia Di Carini Boxing Club,Boxing,Amateur,Gym Floor
9142,Antoinedan Athletic Club,Athletics,Amateur,Indoor Track
9143,Gay Hoops,Basketball,Amateur,Wooden Floor
9144,Herford AC,Athletics,Amateur,Road
9145,Luckau Academy,Tennis,Amateur,Hard Court
9146,Guipúzcoa Hoops,Basketball,Professional,Outdoor Court
9147,Stephaniebury Hoops,Basketball,Amateur,Indoor Court
9148,Murcia Tennis Club,Tennis,Amateur,Hard Court
9149,South Annette AC,Athletics,Amateur,Track
9150,Coxton Athletic,Football,Amateur,Grass
9151,Port Amber Athletic,Football,Amateur,Indoor Court
9152,Moulin-sur-Turpin TC,Tennis,Amateur,Clay
9153,Barcelona Stars,Basketball,Amateur,Outdoor Court
9154,North Louise TC,Tennis,Amateur,Grass
9155,Albertport Boxing Club,Boxing,Professional,Gym Floor
9156,Pichon Athletic Club,Athletics,Professional,Field
9157,Alexandre Rovers,Football,Amateur,Indoor Court
9158,Stollberg BC,Basketball,Professional,Indoor Court
9159,Justinfurt Tennis Club,Tennis,Amateur,Hard Court
9160,Hodgsonfurt Gym,Boxing,Amateur,Gym Floor
9161,Bernier Tennis Club,Tennis,Amateur,Indoor Court
9162,Ourense City,Football,Professional,Artificial Turf
9163,Asturias TC,Tennis,Amateur,Grass
9164,Melilla United,Football,Amateur,Indoor Court
9165,Costa AC,Athletics,Amateur,Road
9166,East Clareville BC,Boxing,Amateur,Ring
9167,Blanc Athletic Club,Athletics,Amateur,Track
9168,Reutlingen Rovers,Football,Amateur,Indoor Court
9169,Melilla TC,Tennis,Professional,Indoor Court
9170,East Kevinfurt Hoops,Basketball,Amateur,Indoor Court
9171,Marion Academy,Tennis,Amateur,Grass
9172,Raynaud TC,Tennis,Amateur,Indoor Court
9173,Baleares Stars,Basketball,Amateur,Wooden Floor
9174,Mompeo FC,Football,Amateur,Grass
9175,Latina FC,Football,Amateur,Indoor Court
9176,Mitogio Hoops,Basketball,Amateur,Indoor Court
9177,Vallet Boxing Club,Boxing,Amateur,Ring
9178,Álava Athletic,Football,Amateur,Artificial Turf
9179,Valsolda BC,Basketball,Professional,Indoor Court
9180,Asturias Gym,Boxing,Amateur,Training Mat
9181,Woodstad Hoops,Basketball,Amateur,Wooden Floor
9182,Dorzano Stars,Basketball,Professional,Indoor Court
9183,San Miceli Academy,Tennis,Amateur,Indoor Court
9184,Santa Cruz de Tenerife Tennis Club,Tennis,Amateur,Clay
9185,Burolo Athletic Club,Athletics,Amateur,Indoor Track
9186,San Pietro In Calibano Tennis Club,Tennis,Professional,Hard Court
9187,Gerbido Di Mortizza Tennis Club,Tennis,Amateur,Clay
9188,Morvan-sur-Riou Gym,Boxing,Amateur,Ring
9189,Carolynport Academy,Tennis,Professional,Hard Court
9190,Montegrotto Terme Track Club,Athletics,Professional,Indoor Track
9191,Aue Track Club,Athletics,Professional,Indoor Track
9192,Renard-sur-Blanchet Basketball Club,Basketball,Amateur,Wooden Floor
9193,Girona Academy,Tennis,Professional,Indoor Court
9194,Selvatelle Athletic Club,Athletics,Professional,Indoor Track
9195,Hammelburg Gym,Boxing,Amateur,Training Mat
9196,South Joelview FC,Football,Amateur,Indoor Court
9197,Álava BC,Boxing,Amateur,Gym Floor
9198,East Martyntown Hoops,Basketball,Amateur,Wooden Floor
9199,Ponte San Pietro BC,Basketball,Amateur,Indoor Court
9200,Fulda Hoops,Basketball,Amateur,Indoor Court
9201,Meiningen Track Club,Athletics,Professional,Road
9202,Corsanico Gym,Boxing,Amateur,Gym Floor
9203,Valladolid Gym,Boxing,Professional,Gym Floor
9204,Filago Rovers,Football,Professional,Indoor Court
9205,Carlier-les-Bains Track Club,Athletics,Professional,Track
9206,CourtoisVille BC,Basketball,Professional,Outdoor Court
9207,Granada BC,Basketball,Professional,Wooden Floor
9208,West Teresa United,Football,Amateur,Grass
9209,Schmölln United,Football,Amateur,Indoor Court
9210,Tinaberg City,Football,Amateur,Grass
9211,Palencia TC,Tennis,Amateur,Indoor Court
9212,Valladolid Athletic,Football,Amateur,Indoor Court
9213,Blin-sur-Rousset BC,Boxing,Professional,Ring
9214,Cantabria Athletic Club,Athletics,Amateur,Indoor Track
9215,Sainte Bertrand-sur-Mer Tennis Club,Tennis,Professional,Indoor Court
9216,Freudenstadt FC,Football,Amateur,Indoor Court
9217,Rostock City,Football,Amateur,Grass
9218,Erding Boxing Club,Boxing,Amateur,Ring
9219,Guadalajara AC,Athletics,Professional,Indoor Track
9220,Montecarlo AC,Athletics,Professional,Road
9221,Sainte Édith-la-Forêt Gym,Boxing,Professional,Gym Floor
9222,Palagonia Boxing Club,Boxing,Amateur,Gym Floor
9223,Vallet Gym,Boxing,Amateur,Training Mat
9224,Lettomanoppello City,Football,Amateur,Grass
9225,Saint Madeleine BC,Basketball,Amateur,Wooden Floor
9226,Felitto City,Football,Amateur,Artificial Turf
9227,Monte San Pietro Stars,Basketball,Amateur,Wooden Floor
9228,New Georgia Academy,Tennis,Amateur,Clay
9229,Potier-la-Forêt FC,Football,Amateur,Indoor Court
9230,Neubrandenburg United,Football,Professional,Indoor Court
9231,Weißenfels FC,Football,Amateur,Grass
9232,Magdeburg United,Football,Amateur,Artificial Turf
9233,East Joseph Gym,Boxing,Amateur,Ring
9234,New Ellieville Basketball Club,Basketball,Professional,Outdoor Court
9235,Jamietown Stars,Basketball,Amateur,Outdoor Court
9236,Burg Boxing Club,Boxing,Amateur,Gym Floor
9237,Pottier-sur-Richard Stars,Basketball,Amateur,Outdoor Court
9238,Eggenfelden TC,Tennis,Professional,Hard Court
9239,Jessen City,Football,Professional,Indoor Court
9240,Léger-sur-Guichard AC,Athletics,Professional,Indoor Track
9241,Codroipo Stars,Basketball,Professional,Wooden Floor
9242,Port Clivefurt Stars,Basketball,Amateur,Indoor Court
9243,Port Alice Track Club,Athletics,Amateur,Road
9244,Port Katie United,Football,Amateur,Indoor Court
9245,Teruel Boxing Club,Boxing,Professional,Training Mat
9246,Vigorovea Tennis Club,Tennis,Amateur,Hard Court
9247,Sankt Goarshausen Tennis Club,Tennis,Amateur,Clay
9248,Caleipo Tennis Club,Tennis,Amateur,Hard Court
9249,Saint Véronique Stars,Basketball,Amateur,Outdoor Court
9250,Navarra City,Football,Amateur,Indoor Court
9251,La Rioja Rovers,Football,Amateur,Artificial Turf
9252,Acqua Dei Corsari FC,Football,Amateur,Artificial Turf
9253,Huesca BC,Boxing,Professional,Ring
9254,Tuttlingen Athletic,Football,Amateur,Artificial Turf
9255,Samson Athletic,Football,Amateur,Indoor Court
9256,Girona Boxing Club,Boxing,Amateur,Ring
9257,Schleiz City,Football,Amateur,Grass
9258,Port Jeffreyville Tennis Club,Tennis,Amateur,Indoor Court
9259,Aggius AC,Athletics,Amateur,Indoor Track
9260,Brandonberg Athletic Club,Athletics,Amateur,Track
9261,Albertdan Rovers,Football,Amateur,Indoor Court
9262,Burgos Tennis Club,Tennis,Amateur,Grass
9263,Wernigerode Athletic Club,Athletics,Professional,Road
9264,Haldensleben Track Club,Athletics,Amateur,Track
9265,Potsdam Stars,Basketball,Amateur,Indoor Court
9266,Fascia City,Football,Amateur,Indoor Court
9267,Erkelenz City,Football,Amateur,Artificial Turf
9268,Burgos Academy,Tennis,Amateur,Indoor Court
9269,Baleares Tennis Club,Tennis,Amateur,Grass
9270,Fernandez-la-Forêt Tennis Club,Tennis,Amateur,Indoor Court
9271,Toledo United,Football,Amateur,Grass
9272,Punta Ala Rovers,Football,Amateur,Grass
9273,Zoldo Alto Gym,Boxing,Professional,Ring
9274,Bragioli Athletic Club,Athletics,Amateur,Road
9275,East Traceymouth Athletic,Football,Professional,Indoor Court
9276,Joubert AC,Athletics,Amateur,Track
9277,Schmölln United,Football,Amateur,Grass
9278,Navarra Academy,Tennis,Professional,Clay
9279,Dumas-les-Bains City,Football,Professional,Indoor Court
